RandomPercent25;;Node=>auberge vide;;;;;;;;
PlayerSpeak : Il n'y a rien là dedans.;PlayerSpeak : Miam !;;;;;;;;;
Node=>auberge vide;LootFood;;;;;;;;;
;Node=>auberge vide;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[salle];;;;;;;;;;
RandomRange3;;;;;;;;;;
Node=>salle_mercenaire;Node=>salle_vendeur de trucs;Node=>salle_joueurs;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[salle_mercenaire];;[mercenaires];;;;;;;;
Narrator : Un groupe d'homme armés boivent.;;NewCrew4;;;;;;;;
SetChoices2;;;;;;;;;;
Choice : (partir);Choice : (parler au groupe de mercenaire);;;;;;;;;
Leave;Node=>mercenaires;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
[salle_vendeur de trucs];;;;;;;;;;
SetChoices2;;;;;;;;;;
Choice : (partir);Choice : (parler au vendeur);;;;;;;;;
Leave;Leave;;;;;;;;;
