[maison vide];;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;
Narrator : CAPITAINE est dans un manoir très grand. Un couloir se faufile vers ce qui semble être un salon et les cuisines sont directement à gauche. Un bel escalier de bois mène à l'étage.;;;;Narrator : CAPITAINE est dans une coquette villa. Au dirait un petit boudoir au fond du couloir, et une petite salle à manger directement à gauche.;;;;;;;;
choix4;;;;SetChoices3;;;;;;;;
Choice : (monter à l'étage);Choice : (entrer dans la salle à manger);Choice : (s'aventurer dans le boudoir);Choice : (sortir);Choice : (entrer dans la salle à manger);Choice : (s'aventurer dans le boudoir);Choice : (sortir);;;;;;
Fade;Fade;Fade;Fade;Fade;Fade;Fade;;;;;;
Node=>étage;Node=>cuisine;Node=>début;Leave;Node=>cuisine;Node=>début;Leave;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[début salon];;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;
[salon vide];;Node=>salon vielle dame;[check bandits];;;;;;;;;
RandomRange2;;;Node=>salon guet apens;Node=>salon vielle dame;;;;;;;;
Node=>salon sans bureau;Node=>salon avec bureau;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[salon sans bureau];;[salon avec bureau];;;[bureau];;[fouiller salon];;;;;
Narrator : Le salon est coquet et confortable. Un petit bazar est étalé sur une table en bois.;;Narrator : Une grande pièce à vivre s'ouvre devant CAPITAINE. Elle est vide, chaleureuse et lumineuse. Contre le mur un petit bureau, à côté d'une petite table embarsardée.;;;RandomRange2;;RandomRange2;;;;;
SetChoices2;;[choix salon bureau];;;PlayerSpeak : Que du charabiat et de listes de course;PlayerSpeak : Des cartes avec le symboles de Bobby.;PlayerSpeak : Rien d'intéressant par ici;[table salon];;;;
Chocie : (fouiller);Choice : (retourner à l'entrée);SetChoices3;;;Node=>choix salon bureau;PlayerSpeak : Tout pointe DIRECTIONTOFORMULA;Node=>début salon;AddItemToInventoy/Misc;PlayerSpeak : Plus rien…;;;
Node=>fouiller salon;Fade;Chocie : (fouiller);Choice : (regarder bureau);Choice : (retourner à l'entrée);;Node=>salon avec bureau;;PlayerSpeak : LASTITEM ? Cool…;Node=>début salon;;;
;Node=>maison vide;Node=>fouiller salon;Fade;Fade;;;;Switch=>table salon;;;;
;;;Node=>maison vide;Node=>maison vide;;;;Node=>début salon;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[salon vielle dame];Node=>salon vide;OtherSpeak : Vous ne voulez pas laisser une vielle dame tranquille…;;;;;;;;;;
OtherSpeak : Ah vous voilà !;;LaunchCombat;;;;;;;;;;
OtherSpeak : Asseyez vous !;;Node=>salon vide;;;;;;;;;;
Node=>choix vielle dame;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[choix vielle dame];;;;;;[choix autre];;;;;;
SetChoices4;;;;;;Choice : C'est quoi cette maison ?;Choice : (attaquer);Choice : (autre);;;;
Choice : (direction Bobby Dick);;Choice : Non rien;PlayerSpeak : Vous auriez pas de quoi manger ?;Choice : (autre);;Node=>conv;Launch combat;Node=>choix vielle dame;;;;
RandomRange2;;Node=>maison vide;Node=>dame nourriture;Node=>choix autre;;;Node=>salon vide;;;;;
OtherSpeak : Bobby Dick ?;OtherSpeak : Cette vielle légende ?;;;;;;;;;;;
OtherSpeak : Ça ne me dis rien.;OtherSpeak : C'est DIRECTIONTOFORMULA;;;;;;;;;;;
Node=>choix vielle dame;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[dame nourriture];;;;;;;;;;;;
RandomRange4;;;;;;;;;;;;
OtherSpeak : Je n'ai rien !;OtherSpeak : Je ne donne rien gratuitement !;OtherSpeak : Je dois bien avoir bout de gras !;OtherSpeak : J'ai toujours quelques gâteries pour les rares voyageurs;;;;;;;;;
Node=>choix autre;TradeFood;je ne sais plus si je suis allé au marché;LootFood;;;;;;;;;
;Node=>choix autre;;Node=>choix autre;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[conv];;;;;;;;;;;;
RandomRange4;;;;;;;;;;;;
OtherSpeak : Je viens des terres glacées.;OtherSpeak : C'est vrai que la maison est un peu grande…;OtherSpeak : Ce ne sont pas vos oignons;;;[dire bob];;;;;;;
OtherSpeak : Je viens ici parce qu'il fait plus chaud.;OtherSpeak : Surtout depuis la mort de RANDOMMALENAME et départs gosses;SetChoices2;;;OtherSpeak : Je suis née DIRECTIONTOFORMULA;;;;;;;
Node=>choix autre;Node=>choix autre;Choice : OK… Pas besoin de s'énerver.;Choice : (charmer)(cha);;OtherSpeak : Là bas tout le monde nous rabas les oreilles.;;;;;;;
;;Node=>choix autre;CheckStatCHA;;OtherSpeak : Avec un certain Bobby Dick;;;;;;;
;;;Node=>dire bob;OtherSpeak : J'ai dis ce ne sont pas vos oignons !;Node=>choix autre;;;;;;;
;;;;Node=>choix autre;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[salon guet apens];;;;;;;;;;;;
NewCrew;;;;;;;;;;;;
Node=>bandits;Node=>salon vide;LaunchCombat;;;;;;;;;;
[bandits];;Node=>salon vide;;;;;;;;;;
OtherSpeak : Quelques pilleurs souillent le salon.;;;;;;;;;;;;
RandomRedoRange2;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que vous faites là !;Narrator : On dirait que les bandits n'ont pas CAPITAINE.;;;;;;;;;;;
OtherSpeak : Attrapez le !;SetChoices2;;;;;;;;;;;
LaunchCombat;Choice : (attaquer);Choice : (fuir)(dex);;;;;;;;;;
Node=>salon vide;PlayerSpeak : A l'attaque !?;CheckStatDEX;;;;;;;;;;
;OtherSpeak : ?!;HideOther;OtherSpeak : Hey !;;;;;;;;;
;LaunchCombat;Fade;OtherSpeak : Reviens un peu toi !;;;;;;;;;
;Node=>salon vide;Node=>maison vide;LaunchCombat;;;;;;;;;
;;;Node=>salon vide;;;;;;;;;
;;;;;;;;;;;;
[cuisine];;;;;;;;;;;;
Narrator : La cuisine est très large, il devait y avoir une dizaine de serveurs et cuisiniers.;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;
Choice : (fouiller garde manger);Choice : (retourner à l'entrée);Choice : (regarder vaiselle);;;;;;;;;;
Node=>garde manger;Node=>maison vide;Node=>choix autre;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[garde manger];;;;;;;;;;;;
PlayerSpeak : Yes !;PlayerSpeak : Rien du tout;;;;;;;;;;;
LootFood;Node=>cuisine;;;;;;;;;;;
Node=>cuisine;;;;;;;;;;;;
;;;;;;;;;;;;
[vaisselle];;;;;;;;;;;;
Node=>encore vaisselle;Node=>plus vaisselle;;;;;;;;;;;
;;;;;;;;;;;;
[encore vaisselle];[plus vaisselle];;;;;;;;;;;
AddItem/Food;PlayerSpeak : Il n'y a plus rien !;;;;;;;;;;;
Switch=>vaisselle;Node=>cuisine;;;;;;;;;;;
Node=>cuisine;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
[étage];;;;[chambre enfant];;;;;;;;
Node=>grenier;Node=>chambre enfant;;;PlayerSpeak : La chambre d'enfant est vide…;;;;;;;;
;;;;PlayerSpeak : Pourquoi est-t-elle abandonnée ?;;;;;;;;
[grenier];;;;[choix chambre];;;;;;;;
RandomRange2;;;;SetChoices2;;;;;;;;
PlayerSpeak : Que des babioles ! ;PlayerSpeak : Oh, un petit livre.;;;Choice : (partir);Choice : (fouiller);;;;;;;
LootMisc;AddItem<Roman>/Misc;;;Fade;RandomRange2;;;;;;;
Node=>maison vide;Node=>maison vide;;;Node=>maison vide;PlayerSpeak : Que des petits gadgets;Narrator : Le sol est couvert de dessin.;;;;;;
;;;;;LootMisc;PlayerSpeak : On dirait des dessins du trésor…;;;;;;
;;;;;Node=>choix chambre;PlayerSpeak : L'enfant a déssiné des boussoles qui pointent DIRECTIONTOFORMULA;;;;;;
;;;;;;Node=>choix chambre;;;;;;
