;;SetChoices3;;;;;;;;;;;;;
;;Choice : Me vendre à manger.;;Choice : Rien !;Choice : Bobby Dick, ça vous parle ?;;;;;;;;;;
;;RandomPercent40;;OtherSpeak : A la prochaine !;RandomPercent40;;;;;;;;;;
;;TradeFood;OtherSpeak : Vous arrivez au mauvais moment, on en a plus du tout.;HideOther;OtherSpeak : Bien sûr, un ami m'en a parlé, il habite…;OtherSpeak : Non, rien;;;;;;;;;
;;Mark=>choix poissoniers;Mark=>choix poissoniers;Mark=>place du village;GiveDirectionToClue;Mark=>choix poissoniers;;;;;;;;;
;;;;;Mark=>choix poissoniers;;;;;;;;;;
;;;;;;;;;;;;;;;
[rue];;;;;;;;;;;;;;;
RandomRange3;;;;;;;;;;;;;;;
Narrator : La rue mène sur un impasse et la chaleur d'une taverne.;;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Une petite boutique est ouverte à gauche;;;;;;;Narrator : La rue mène sur un impasse et sur la chaleur d'une taverne. Des coups de marteaux et de scie sortent d’un grand hangar vers la droite.;;;;;;
SetChoices2;;SetChoices3;;;;;;;SetChoices3;;;;;;
Choice : Entrons;Choice : Revenons en arrière;Choice : Entrons dans la taverne;Choice : Revenons en arrière;Choice : Rentrer dans boutique;;;;;Choice : Entrons dans la taverne;Choice : Revenons en arrière;Choice : Entrer dans hangar;;;;
Mark=>taverne;Fade;Mark=>taverne;Fade;Fade;;;;;Mark=>taverne;Fade;Fade;;;;
;Mark=>place du village;;Mark=>place du village;NewCrew1;;;;;;Mark=>place du village;NewCrew1;;;;
;;;;OtherSpeak : Coucou !;;;;;;;OtherSpeak : Bien le bonjour !;;;;
;;;;[choix boutique];;;;;;;[choix hangar];;;;
;;;;SetChoices4;;;;;;;SetChoices4;;;;
;;;;Choice : Qu’est-ce que vous vendez ici ?;Choice : Le trésor de Bobby Dick, ça vous parle ?;;Choice : Montrez moi votre marchandise;Choice : Sortir de la boutique;;;Choice : Qu’est-ce que vous vendez ici ?;Choice : Le trésor de Bobby Dick, ça vous parle ?;;Choice : J’ai besoin de quelques changements sur bateau.;Choice : Sortir du hangar
;;;;OtherSpeak : Des bricoles, des choses, des machins quoi.;RandomPercent30;;TradeMisc;HideOther;;;OtherSpeak : Je fais des merveilles avec votre bâteau ! ;RandomPercent30;;BoatUpgrades;HideOther
;;;;Mark=>choix boutique;OtherSpeak : Mon fils navigue à sa recherche.;OtherSpeak : Rien du tout.;Mark=>choix boutique;Fade;;;Mark=>choix hangar;OtherSpeak : Mon femme est allée chercher mon fils, qui est à sa recherche;OtherSpeak : Rien du tout.;Mark=>choix hangar;Fade
;;;;;GiveDirectionToClue;Mark=>choix boutique;;Mark=>rue;;;;GiveDirectionToClue;Mark=>choix hangar;;Mark=>rue
;;;;;Mark=>choix boutique;;;;;;;Mark=>choix hangar;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[taverne];;;;;;;;;;;;;;;
NewCrew2;;;;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que je peux faire pour vous ?;Mark=>combat tavernier;OtherSpeak : Comment osez vous remettre les pieds dans mon auberge !?;;;;;;;;;;;;;
Mark=>choix1;;Mark=>combat tavernier;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[choix1];;;;[choix2];;;;;;;;;;;
SetChoices4;;;;SetChoices4;;;;;;;;;;;
Choice : Des chambres pour mes hommes !;Choice : On a faim !;Choice : (autre);Choice : Ça ira pour aujourdh'ui;Choice : C'est quoi les nouvelles de la région ?;;Choice : (attaquer);Choice : Bobby Dick, ça vous parle ?;;Choice : (autre);;;;;;
Mark=>chambre;OtherSpeak : Regardez voir ce que j'ai;Mark=>choix2;OtherSpeak : Bon bah à la prochaine !;RandomPercent40;;Mark=>combat tavernier;RandomPercent50;;Mark=>choix1;;;;;;
;TradeFood;;HideOther;OtherSpeak : Qu'est-ce que j'en sais moi ?;GiveTip;;OtherSpeak : Non pas du tout.;OtherSpeak : Bien sûr ! Tous les alcooliques ici en parlent.;;;;;;;
;Mark=>choix1;;Fade;Mark=>choix2;Mark=>choix2;;Mark=>choix2;OtherSpeak : Il viennent…;;;;;;;
;;;Mark=>rue;;;;;GiveDirectionToClue;;;;;;;
;;;;;;;;Mark=>choix2;;;;;;;
;;;;;;;;;;;;;;;
[combat tavernier];;;;;;;;;;;;;;;
OtherSpeak : Sacre Bleu !;;;;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;
Mark=>auberge vide;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[chambre];;;;;;;;;;;;;;;
OtherSpeak : Ça sera 10 pièces d'or;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;
Choice : Tenez !;;Choice : Je n'ai pas assez…;;;;;;;;;;;;;
CheckGold10;;OtherSpeak : C'est rien mon bon monsieur;;;;;;;;;;;;;
RemoveGold10;OtherSpeak : Désolé mon bon m'sieur mais c'est pas assez;Mark=>choix1;;;;;;;;;;;;;
OtherSpeak : Prenez le dortoir à gauche en haut des escaliers !;Mark=>choix1;;;;;;;;;;;;;;
OtherSpeak : Bonne nuit;;;;;;;;;;;;;;;
HideOther;;;;;;;;;;;;;;;
RandomPercent5;;;;;;;;;;;;;;;
SetWeatherNight;;;SetWeatherDay;;;;;;;;;;;;
Narrator : Des craquements dans le couloir réveillent l'équipage;;;Narrator : L'équipe se réveille au chant des mouettes…;;;;;;;;;;;;
SetChoices2;;;OtherSpeak : Alors, bien dormis ?;;;;;;;;;;;;
Choice : Je vais voir ce que c'est;Choice : On verra demain…;;SetChoices2;;;;;;;;;;;;
PlayerSpeak : Vous pensiez nous avoir comme ça ?!;SetWeatherDay;;Choice : Non j'ai très mal dormis;Choice : Oui merci !;;;;;;;;;;;
Mark=>combat tavernier;Narrator : L'équipage se réveille. La bourse du capitaine s'est bien allégée.;;OtherSpeak : Bah merde alors…;OtherSpeak : Génial;;;;;;;;;;;
;PlayerSpeak : Ma bourse ! Qui a pris ma bourse !;;Mark=>choix1;Mark=>choix1;;;;;;;;;;;
;RemoveGold100;;;;;;;;;;;;;;
;SetChoices2;;;;;;;;;;;;;;
;Choice : (Aller voir le tavernier);Choice : (Partir comme si de rien était);;;;;;;;;;;;;
;Mark=>choix1;Mark=>rue;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
[auberge vide];;;;;;;;;;;;;;;
Narrator : Il n'y a plus personne dans l'auberge.;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;
Choice : Chercher le garde manger;;Choice : Repasser une nuit à l'auberge;Choice : Reprendre le large;;;;;;;;;;;;
RandomPercent10;;PlayerSpeak : Je crois qu'on a besoin d'une bonne nuit de sommeil;PlayerSpeak : On a rien plus rien à faire ici !;;;;;;;;;;;;
Narrator : La porte du garde manger est entrouverte;Narrator : La porte du garde manger est fermée;SetWeatherDay;Fade;;;;;;;;;;;;
SetChoices2;GoToB/28;Mark=>auberge vide;Mark=>rue;;;;;;;;;;;;
Choice : Fouiller;Choice : Revenir;;;;;;;;;;;;;;
RandomPercent25;GoToB/28;;;;;;;;;;;;;;
PlayerSpeak : Il n'y a rien là dedans.;PlayerSpeak : Miam !;;;;;;;;;;;;;;
Mark=>auberge vide;LootFood;;;;;;;;;;;;;;
;Mark=>auberge vide;;;;;;;;;;;;;;
