[combat garde];;;;;;;;;;;;;;;;;;;
PlayerSpeak : Tu en décuira !;;;;;;;;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;;
Narrator : Le garde est à terre. Et les portes du camp s'ouvrent;;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que c'est que cette tintanière ?!;;;;;;;;;;;;;;;;;;;
OtherSpeak : Putain ils ont tué Dédé ! Choppez les !;;;;;;;;;;;;;;;;;;;
Node=>combat soldats;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[caserne];;;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;
Narrator : Le campement n'est pas très grand. Un feu de joie brûle fort et quelques soldats boivent autour.;Node=>caserne vide;;;;;;;;;;;;;;;;;;
CheckQuest[debut soldats];;;;;;;;;;;;;;;;;;;
[debut soldats];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : (retourner à l'entrée);Choice : (parler aux soldats);;Choice : Je veux parler à votre chef !;;;;;;;;;;;;;;;;
HideOther;PlayerSpeak : Ahoi !;;[demande chef];;;;;;;;;;;;;;;;
Fade;RandomPercent30;;RandomPercent75;;OtherSpeak : Suis moi !;;;;;;;;;;;;;;
Node=>entrée caserne;OtherSpeak : On est occupé !;OtherSpeak : Oui ?;OtherSpeak : Suis moi !;OtherSpeak : On en a pas.;Fade;;;;;;;;;;;;;;
;Node=>caserne;Node=>choix soldats;Fade;Node=>debut soldats;Node=>chef caserne;;;;;;;;;;;;;;
;;;Node=>chef caserne;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[choix soldats];;;;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;;;;;;;;;;;;
Choice : Non rien;Choice : Vous vous plaisez ici ?;Choice : Ça vous parle, Bobby Dick ?;;Choice : (attaquer);;[engagement];;;;;;;;;;;;;
OtherSpeak : Ok…;Node=>engagement;RandomRange2;;RemoveKarma;;Node=>pas encore;Node=>déjà;;;;;;;;;;;;
Node=>debut soldats;;OtherSpeak : On a coulé un bateau pirate qui en parlait.;OtherSpeak : Non, rien du tout…;Node=>combat soldats;;;;;;;;;;;;;;;
;;OtherSpeak : Ils allaient DIRECTIONTOFORMULA;Node=>choix soldats;;;[pas encore];;;;;;[déjà];;;;;;;
;;OtherSpeak : Je crois;;;;RandomRange3;;;;;;OtherSpeak : Vous nous avez déjà pris un copain.;;;;;;;
;;SetChoices2;;;;OtherSpeak : C'est le paradis !;OtherSpeak : Bof…;;;OtherSpeak : Je n'ai qu'un rêve, c'est de partir.;;OtherSpeak : Laissez nous maintenant;;;;;;;
;;Choice : Merci !;Choice : Viens donc le chercher avec nous !;;;PlayerSpeak : Ah…;SetChoices2;;;SetChoices2;;Node=>choix soldats;;;;;;;
;;Node=>choix soldats;RandomPercent85;;;Node=>choix soldats;Choice : (cha);;Choice : C'est dommage !;Choice : Rejoins nous !;Choice : C'est dommage !;;;;;;;;
;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;;;CheckStatCHA;;OtherSpeak : Mouais…;OtherSpeak : Avec plaisir !;OtherSpeak : Ouais…;;;;;;;;
;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;Node=>choix soldats;AddMember;Node=>choix soldats;;;;;;;;
;;;Node=>choix soldats;AddMember;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;Switch=>engagement;;;;;;;;;
[combat soldats];;;;Node=>choix soldats;;;Node=>choix soldats;AddMember;;Node=>choix soldats;;;;;;;;;
OtherSpeak : Enculé !;;;;;;;;Switch=>engagement;;;;;;;;;;;
LaunchCombat;;;;;;;;Node=>choix soldats;;;;;;;;;;;
Node=>caserne vide;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[chef caserne];;;;;;;;;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;;;;;;;;
[chef mauvais karma];;;;;;;;[payer karma];;;;;;;;;;;
PlayerSpeak : Olah !;Node=>payer karma;;;;;;;OtherSpeak : Bon. C'est simple.;;;;;;;;;;;
OtherSpeak : Hello !;;;;;;;;OtherSpeak : Paye BOUNTY ou meurs.;;;;;;;;;;;
CheckKarma;;;;;;;;SetChoices3;;;;;;;;;;;
SetChoices2;;SetChoices2;;;Node=>choix chef;Node=>choix chef;;Choice : Tenez…;;Choice : Il en est hors de question.;Choice : (tenter de fuir)(dex);;;;;;;;
Choice : On m'a dit que vous pouviez m'aider;Choice : Discutons;Choice : Parlons;Choice : J'ai besoin d'aide(cha);;;;;PayBounty;;OtherSpeak : Je vais t’exécuter personnellement;CheckStatDEX;;;;;;;;
Node=>chef karma;Node=>choix chef;Node=>choix chef;CheckStatCHA;OtherSpeak : Non.;;;;OtherSpeak : Bien… Tu es en règle.;OtherSpeak : Tu n'a pas assez;Node=>combat chef;OtherSpeak : !;OtherSpeak : Délit de fuite !;;;;;;;
;;;Node=>chef karma;OtherSpeak : On t'as laisser rentrer.;;;;OtherSpeak : Mais on t'as à l'oeil. Sors de ma tente.;OtherSpeak : La loi c'est la loi.;;HideOther;RemoveKarma;;;;;;;
[chef karma];;;;OtherSpeak : Tu veux quoi d'autres.;;;;HideOther;OtherSpeak : Je vais t’exécuter personnellement;;Fade;OtherSpeak : Je vais t’exécuter personnellement;;;;;;;
OtherSpeak : Quelqu'un comme vous ? Avec plaisir !;OtherSpeak : Ah non, c'est déjà fait;;;Node=>choix chef;;;;Fade;Node=>combat chef;;Narrator : CAPITAINE est sur la plage. Les soldats arrivent au loin.;Node=>combat chef;;;;;;;
Node=>besoin;OtherSpeak : N'abusez pas de ma générosité;;;;;;;Node=>caserne;;;SetChoices1;;;;;;;;
;Node=>choix chef;;;;;;;;;;Choice : (prendre le large);;;;;;;;
;;;;;;;;;;;Leave;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[choix chef];;;;;;;;;[besoin];;;;;;;;;;
SetChoices3;;;;;;;;;Switch=>chef karma;;;;;[mec1];;[mec2];;[mec3];
Choice : Je dois y aller !;Choice : Vous avez des armes ?;;;;;Choice : Vous avez quelques conseils ?;;;OtherSpeak : vous avez besoin de quelque chose ?;;;;;NewCrew1;;NewCrew1;;NewCrew1;
OtherSpeak : A plus tard;RandomRange2;;;;;RandomRange2;;;SetChoices4;;;;;OtherSpeak : Le fameux CAPITAINE ! Quel chance;;OtherSpeak : Yo;;OtherSpeak : Enchanté;
Fade;OtherSpeak : Oui quelques une dans l'arrière tente.;;;OtherSpeak : Oui mais seulement pour mes hommes ;;OtherSpeak : Pas vraiment.;OtherSpeak : Quelques uns !;;Choice : Des marins !;Choice : De la bouffe !;Choice : Des armes !;Choice : Ça ira…;;SetChoices2;;SetChoices2;;SetChoices2;
HideOther;OtherSpeak : Suivez moi;;;SetChoices2;;Node=>choix chef;OtherSpeak : Par exemple :;;OtherSpeak : Laissez moi voir;OtherSpeak : Servez vous;OtherSpeak : Servez vous;AddKarma;;Choice : Allez monte;Choice : Je veux voir quelqu'un d'autre.;Choice : Allez monte;Choice : OTHERNAME m'ennuie, un autre;Choice : Allez monte;Choice : OTHERNAME est moche comme un poux.
Node=>caserne;SetChoices2;;;Choice : PD;Choice : OK;;GiveTip;;OtherSpeak : Y'en a bien un ou deux qui doit trainer dans le coin;LootFood;LootWeapons;OtherSpeak : !;;OtherSpeak : C'est une splendide nouvelle !;Node=>mec2;OtherSpeak : K, j'le dis au patron;Node=>mec3;OtherSpeak : Tout de suite;OtherSpeak : J'étais le dernier
;Choice : Je vous suis.;;Choice : Peu pour moi;Node=>combat chef;Node=>choix chef;;Node=>choix chef;;HideOther;OtherSpeak : Qu'est-ce que je peux faire d'autre;OtherSpeak : Qu'est-ce que je peux faire d'autre;OtherSpeak : Vous êtes décidément une légende de bonté !;;OtherSpeak : Je rappelle le chef;;AddMember;;AddMember;OtherSpeak : Je vous ramène au chef
;HideOther;;OtherSpeak : C'est vous qui voyez;;;;;;Fade;Node=>choix chef;Node=>choix chef;OtherSpeak : Qu'est-ce que je peux faire pour vous;;AddMember;;Node=>chef caserne;;Node=>chef caserne;Node=>chef caserne
;Fade;;Node=>choix chef;;;;;;Node=>mec1;;;Node=>choix chef;;Node=>chef caserne;;;;;
;RandomRange2;;;;;;;;;;;;;;;;;;
;OtherSpeak : Voilà la came!;Node=>guétapens;;;;;;;;;;;;;;;;;
;TradeWeapons;;;;;;;;;;;;;;;;;;
;Node=>choix chef;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[guétapens];;;;;;;;;;;;;;;;;;;
OtherSpeak : AAAA ! Tu es tombé dans mon piège;;;;;;;;;;;;;;;;;;;
OtherSpeak : Tu vas me donner 50 pièces d'or.;;;;;;;;;;;;;;;;;;;
OtherSpeak : Et et je te laisse en vie !;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;
Choice : Sûrement pas;;Choice : Tenez;;;;;;;;;;;;;;;;;
[combat chef];;CheckGold50;;;;;;;;;;;;;;;;;
OtherSpeak : Il t'en coutra tes argnoles ! ;;RemoveGold50;;;;;;;;;;;;;;;;;
LaunchCombat;;OtherSpeak :  Et ne revenez plus jamais ici;;;;;;;;;;;;;;;;;
PlayerSpeak : AHA !;;Node=>debut;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;
OtherSpeak : Capitaine !;;;;;;;;;;;;;;;;;;;
RandomPercent50;SetChoices2;;;;;;;;;;;;;;;;;;
Node=>combat soldats;Choice : Il a essayé de me voler !(cha);;;Choice : Vous êtes des pds !;;;;;;;;;;;;;;;
;CheckStatCHA;;;LaunchCombat;;;;;;;;;;;;;;;
;OtherSpeak : Il faisait ça parfois.;;OtherSpeak : Mais oui c'est ça !;Fade;;;;;;;;;;;;;;;
;OtherSpeak : Vous savez quoi… Je ferme les yeux.;;OtherSpeak : à l'attaque !;Node=>caserne vide;;;;;;;;;;;;;;;
;OtherSpeak :  Mais, bon faites profil bas;;LaunchCombat;;;;;;;;;;;;;;;;
;SetChoices2;;Fade;;;;;;;;;;;;;;;;
;Choice : Compris !;Choice : PD !;Node=>caserne vide;;;;;;;;;;;;;;;;
;AddKarma;LaunchCombat;;;;;;;;;;;;;;;;;
;OtherSpeak : Allez, au revoir;RemoveKarma;;;;;;;;;;;;;;;;;
;Node=>debut;Fade;;;;;;;;;;;;;;;;;
;;Node=>caserne vide;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[caserne vide];;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;;
Narrator : Le camp est vide mais le feu de joie brûle toujours. Il n'y a seulement qu'une poignée de tentes.;;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : Dormir près du feu;Choice : Lever l'ancre;Choice : Fouiller les tentes;;;;;;;;;;;;;;;;;
PlayerSpeak : Au dodo !;Fade;Fade;;;;;;;;;;;;;;;;;
ChangeTimeOfDay;PlayerSpeak : Allez, en route;[tentes];;;;;;;;;;;;;;;;;
Node=>caserne vide;Leave;SetChoices4;;;;;;;;;;;;;;;;;
;;Choice : Fouiller première tente;;Choice : Fouiller deuxième tente;;Choice : Fouiller troisième tente;;Choice : Retourner au feu;;;;;;;;;;;
;;RandomPercent20;;RandomPercent20;;RandomPercent20;;Fade;;;;;;;;;;;
;;PlayerSpeak : L'arsenal !;PlayerSpeak : C'est un arsenal. Il est vide !;PlayerSpeak : Que des babioles;PlayerSpeak : Rien dans celle-ci !;PlayerSpeak : Le garde manger ! ;PlayerSpeak : C'est le garde mangé !;Node=>caserne vide;;;;;;;;;;;
;;LootWeapons;Node=>tentes;LootMisc;Node=>tentes;LootFood;PlayerSpeak : Mais il n'y a plus rien;;;;;;;;;;;;
;;Node=>tentes;;Node=>tentes;;Node=>tentes;Node=>tentes;;;;;;;;;;;;
