;;;;;aller, retourner;ouvrir;fermer;manger;dormir;regarder, observer;prendre, ramasser, saisir;remplir;boire;déplacer;lire;couper;entrer;jeter, bazarder;équiper, mettre;déséquiper, enlever;écouter;continuer;sortir;retourner;casser;déchirer;(fabriquer;allumer;éteindre;&
roman;ms;3;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
recette;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;READRECIPE;;;THROW;;;;;;;;;;;;&
manuel;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
journal;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
magazine;ms;2;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
dollar;ms;;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
lecteur mp3;ms;4;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
poupée;fs;3;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;CRAFT;;;&
stylo;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
cuillère;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
fourchette;fs;1;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP;;;;;;;;;;&
assiette;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
bol;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
verre;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
éponge;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
parfum;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
canard en plastique;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
serviette;fs;2;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
tube de dentifrice;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
brosse à dent;fs;1;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(weapon);UNEQUIP(weapon);;;;;;;;;;&
téléviseur;ms;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
table;fs;1;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;"DISPLAY(La table se brise)
REMOVEFROMTILE(table)
ADDTOTILE(petit bois,4)
ADDTOTILE(planche,1)";;CRAFT;;;&
canapé;ms;;;;;;;;SLEEP(2);DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
horloge;fs;;;;;;;;;DISPLAYTIMEOFDAY;;;;;;;;;;;;;;;;;;;;&
fenêtre ouverte;fs;;;;;DISPLAY(La fenêtre est déjà ouverte);"DISPLAY(Vous fermez la fenêtre)
REPLACEITEM(fenêtre fermée)";;;DESCRIBEEXTERIOR;;;;;;;;;;;;;"DISPLAY(Vous sortez pas la fenêtre)
EXITBYWINDOW";;;;;;;&
fenêtre fermée;fs;;;;;"DISPLAY(Vous ouvrez la fenêtre)
REPLACEITEM(fenêtre ouverte)";DISPLAY(La fenêtre est déjà fermée);;;DESCRIBEEXTERIOR;;;;;;;;;;;;;DISPLAY(La fenêtre est fermée, impossible de passer);;;;;;;&
téléphone;ms;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
ordinateur;ms;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
radio;fs;5;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;GIVECLUE;;;;;;CRAFT;;;&
appareil photo;ms;3;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
voiture;fs;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
bâteau;ms;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
pantalon;ms;1;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(bottom);UNEQUIP(bottom);;;;;;"DISPLAY(Vous déchirez le pantalon en quelques bouts de tissu)
ADDTOTILE(morceau de tissu,5)
REMOVELASTITEM";CRAFT;;;&
t-shirt;ms;1;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);;;;;;"DISPLAY(Vous déchirez le pantalon en quelques bouts de tissu)
ADDTOTILE(morceau de tissu,5)
REMOVELASTITEM";CRAFT;;;&
veste;fs;1;;2;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);;;;;;"DISPLAY(Vous déchirez le pantalon en quelques bouts de tissu)
ADDTOTILE(morceau de tissu,5)
REMOVELASTITEM";CRAFT;;;&
manteau;ms;1;;3;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(body);UNEQUIP(body);;;;;;"DISPLAY(Vous déchirez le pantalon en quelques bouts de tissu)
ADDTOTILE(morceau de tissu,5)
REMOVELASTITEM";CRAFT;;;&
paire de chaussures;fs;2;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(feet);UNEQUIP(feet);;;;;;;CRAFT;;;&
lunettes;ms;1;;1;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);;;;;;;CRAFT;;;&
montre;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);;;;;;;;;;&
casque moto;ms;3;;3;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;EQUIP(head);UNEQUIP(head);;;;;;;;;;&
machine à laver;fs;;;;;;;;;DESCRIBEITEM;;;;;;;;;;;;;;;;;;;;&
bougie;ms;;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
lampe torche (e);fs;1;;;;;;;;DISPLAY(Elle est éteinte);TAKE;;;;;;;THROW;EQUIP(misc);UNEQUIP(misc);;;;;;;CRAFT;"DISPLAY(Il vous faut une pile...)
REQUIRE(pile)
DISPLAY(Vous allumez la lampe torche avec un pile)
REPLACEITEM(lampe torche (a))";DISPLAY(La lampe torche est déjà éteinte);&
lampe torche (a);fs;1;;;;;;;;DISPLAY(Elle est allumée);TAKE;;;;;;;THROW;EQUIP(misc);UNEQUIP(misc);;;;;;;CRAFT;DISPLAY(La lampe torche est déjà éteinte);"DISPLAY(Vous éteignez la lampe torche)
REPLACEITEM(lampe torche (e))";&
rouleau de scotch;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
vise;fs;;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
papier;ms;;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
baie;fs;;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
lavabo;ms;;;;;;;;;DESCRIBEITEM;;;DRINK(10);;;;;;;;;;;;;;;;;&
boussole;fs;1;;;;;;;;POINTNORTH;TAKE;;;;;;;THROW;;;;;;;;;CRAFT;;;&
planche;fs;4;;;;;;;;DESCRIBEITEM;;;;;;;;THROW;;;;;;;;;CRAFT;;;&
morceau de tissu;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;DISPLAY(Le morceau de tissu est déjà assez petit…);;;;&
paire de ciseaux;fs;2;;2;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
dé à coudre;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
fil à tricoter;ms;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
pile;fs;1;;;;;;;;DESCRIBEITEM;TAKE;;;;;;;THROW;;;;;;;;;;;;&
