;Plain;Field;Clearing;Hill;Mountain;Forest;Woods;Sea;Lake;River;Beach;Road;TownRoad;CoastalRoad;Path;Bridge;Building;Farm;ForestCabin;CountryHouse;Hallway;Stairs;LivingRoom;Kitchen;DiningRoom;ChildBedroom;Bedroom;Bathroom;Toilet;Attic;Basement;Cellar;Office
douche;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;
cuvette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
lettre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tableau;;;;;;;;;;;;;;;;;;;;;;;10;;;;5;;;;;;
arbre;;;;;;10*55;10*90;;;;;;;;;;;;;;;;;;;;;;;;;;
bûche;;;;;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;
branche;;;;;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;
tomate pourrie;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
brocoli pourri;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
pomme pourrie;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
banane pourrie;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
bouteille de lait;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
bouteille de lait périmé;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
pain;;;;;;;;;;;;;;;;;;;;;;;;2;5;;;;;;;;
pain périmé;;;;;;;;;;;;;;;;;;;;;;;;3;5;;;;;;;;
bouteille d’eau;;;;;;;;;;;;;;;;;;;;;;;;7;7;;;;;;;;
carotte;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
carotte douteuse;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;
conserve de viande;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;
conserve de tomate;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;
conserve de thon;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;
cannette de soda;;;;;;;;;;;;;;;;;;;;;;;;10;1;;;;;;;;
couteau;;;;;;;;;;;;;;;;;;;;;;;;10;5;;;;;;;;
serpillière;;;;;;;;;;;;;;;;;;;;;3;;;2;;;;10;10;;;;
pelle;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
clé;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;
roman;;;;;;;;;;;;;;;;;;;;;;;5;;;;10;;;;;;
recette;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;
manuel;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;
journal;;;;;;;;;;;;;;;;;;;;;;;5;;;;5;;;;;;
magazine;;;;;;;;;;;;;;;;;;;;;;;5;;;;5;;;;;;
dollar;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;
lecteur mp3;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;
poupée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stylo;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;
cuillère;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
fourchette;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
assiette;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
bol;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
verre;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;
éponge;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;
parfum;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
canard en plastique;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
serviette;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;
dentifrice;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;
brosse à dent;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;
téléviseur;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;
table;;;;;;;;;;;;;;;;;;;;;;;50;;100;10;10;;;;;;
canapé;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;
horloge;;;;;;;;;;;;;;;;;;;;;5;;20;2;3;3;3;;;;;;
fenêtre;;;;;;;;;;;;;;;;;2*10;2*10;2*10;2*10;4;4;20;10;10;10;10;;5;;;;
téléphone;;;;;;;;;;;;;;;;;;;;;;;10;3;;;;;;;;;
ordinateur;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;
radio;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;
appareil photo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
voiture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bâteau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pantalon;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
t-shirt;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
veste;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
manteau;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
chaussures;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
lunettes;;;;;;;;;;;;;;;;;;;;;;;3;;;5;;;;;;;
montre;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
casque moto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine à laver;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;
bougie;;;;;;;;;;;;;;;;;;;;;;;5;;3;3;3;;;;;;
lampe torche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rouleau de scotch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
papier;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
baie;1;0;2;;;10*1;12*2;;;;;;;;;;;;;;;;2;;;;;;;;;;
